real,user,syst,cpu,mem
2.70,1.45,0.04,55%,2984
1.31,1.27,0.04,100%,3808
0.65,1.00,0.01,155%,4540
0.59,1.21,0.04,211%,5052
0.45,1.11,0.02,250%,5308
0.35,1.09,0.01,315%,5948
0.33,1.14,0.03,354%,6780
0.39,1.80,0.07,480%,7520
0.36,1.89,0.04,529%,7996
0.29,1.62,0.04,574%,8700
0.22,1.30,0.06,600%,9084
0.21,1.27,0.03,626%,9272
0.20,1.30,0.04,651%,10044
0.31,1.78,0.05,591%,10796
0.29,2.16,0.09,766%,11288
0.64,2.67,0.14,434%,12288
0.30,2.56,0.11,876%,12572
0.19,1.37,0.07,757%,13080
0.18,1.34,0.07,773%,13916
0.26,2.29,0.11,911%,14216
0.16,1.41,0.06,901%,14976
0.24,2.17,0.13,938%,15920
0.17,1.44,0.04,878%,16092
0.17,1.40,0.08,874%,16572
0.17,1.38,0.11,859%,17364
0.17,1.42,0.05,861%,17792
0.17,1.44,0.06,879%,18500
0.28,2.30,0.20,873%,19280
0.17,1.43,0.07,861%,19988
0.17,1.42,0.08,863%,20232
0.39,2.68,0.13,706%,20780
0.16,1.48,0.05,920%,21404
0.26,1.88,0.12,772%,22348
0.18,1.53,0.05,866%,22840
0.16,1.44,0.07,908%,23204
0.17,1.43,0.08,853%,24056
0.18,1.47,0.07,853%,24664
0.16,1.45,0.07,909%,24864
0.17,1.43,0.10,904%,25952
0.16,1.46,0.07,927%,26140
0.16,1.43,0.09,908%,26660
0.17,1.45,0.07,870%,27376
0.26,2.16,0.21,903%,27884
0.17,1.41,0.13,872%,28436
0.17,1.41,0.11,865%,28844
0.17,1.45,0.07,902%,29560
0.17,1.47,0.07,885%,29952
0.17,1.43,0.11,889%,30788
0.17,1.42,0.11,893%,31460
0.18,1.42,0.13,863%,31872
0.18,1.42,0.11,851%,32200
0.18,1.48,0.06,830%,32852
0.18,1.42,0.10,834%,33244
0.20,1.41,0.12,740%,33940
0.27,2.18,0.19,880%,34888
0.17,1.44,0.10,878%,35264
0.17,1.42,0.13,888%,35708
0.17,1.44,0.10,881%,36324
0.18,1.48,0.06,844%,36548
0.18,1.48,0.08,852%,37352
0.18,1.43,0.11,853%,38312
0.18,1.44,0.11,831%,38700
0.18,1.48,0.07,848%,38788
0.18,1.40,0.15,857%,39236
0.19,1.46,0.11,812%,39876
0.18,1.43,0.11,843%,40700
0.18,1.48,0.07,871%,40892
0.19,1.40,0.16,807%,41608
0.19,1.46,0.09,809%,42144
0.19,1.49,0.08,807%,42880
0.19,1.45,0.14,811%,43388
0.27,2.20,0.27,890%,43960
0.19,1.45,0.09,792%,45052
0.19,1.49,0.05,819%,45664
0.18,1.47,0.10,834%,44940
0.18,1.47,0.11,854%,46024
0.19,1.43,0.16,841%,47092
0.18,1.41,0.16,836%,47524
0.18,1.46,0.11,843%,48440
0.19,1.47,0.10,809%,48408
0.19,1.44,0.15,803%,48676
0.19,1.45,0.12,829%,49720
0.19,1.47,0.13,815%,50268
0.18,1.47,0.09,829%,50860
0.19,1.44,0.13,823%,50884
0.19,1.44,0.14,827%,51652
0.20,1.50,0.11,784%,51428
0.20,1.50,0.09,800%,51588
0.20,1.43,0.14,790%,53736
0.19,1.45,0.13,827%,54032
0.19,1.45,0.12,804%,54752
0.19,1.46,0.12,827%,55124
0.19,1.46,0.13,815%,55996
0.21,1.47,0.13,757%,55504
0.20,1.40,0.18,798%,56824
0.21,1.46,0.19,778%,57880
0.20,1.45,0.13,782%,57136
0.19,1.45,0.14,810%,58364
0.20,1.44,0.14,780%,58104
0.20,1.44,0.15,790%,58956
